Country,Income_Level,Prompt_Type,LLM,Citation_ID,Author,Title,Year,Journal,DOI
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_1,"Agosto, D. E., & Hughes-Hassell, S.","Toward a model of the everyday life information needs of urban teenagers, part 1: Theoretical model",2005,Journal of the American Society for Information Science and Technology,https://doi.org/10.1002/asi.20127
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_2,"Agosto, D. E., & Hughes-Hassell, S.","Toward a model of the everyday life information needs of urban teenagers, part 2: Empirical model",2005,Journal of the American Society for Information Science and Technology,https://doi.org/10.1002/asi.20128
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_3,"Connaway, L. S., Dickey, T. J., & Radford, M. L.","If it is too inconvenient I'm not going after it:"" Convenience as a critical factor in information-seeking behaviors",2011,Library & Information Science Research,https://doi.org/10.1016/j.lisr.2010.12.002
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_4,"Dresang, E. T.",Radical change revisited: Dynamic digital age books for youth,2008,Contemporary Issues in Technology and Teacher Education,https://www.learntechlib.org/p/24537/
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_5,"Dresang, E. T., & Koh, K.","Radical change theory, youth information behavior, and school libraries",2009,Library Trends,https://doi.org/10.1353/lib.0.0065
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_6,"Fidel, R., & Green, M.",The many faces of accessibility: Engineers' perception of information sources,2004,Information Processing & Management,https://doi.org/10.1016/j.ipm.2003.08.001
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_7,"Gross, M.",The imposed query and information services for children,1995,Journal of Youth Services in Libraries,https://eric.ed.gov/?id=EJ511651
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_8,"Gross, M.",Imposed queries in the school library media center: A descriptive study,1998,Library & Information Science Research,https://doi.org/10.1016/S0740-8188(98)90008-3
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_9,"Gross, M.",Children's information seeking at school: Findings from a qualitative study,2004,Proceedings of the American Society for Information Science and Technology,https://doi.org/10.1002/meet.1450410135
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_10,"Gross, M., & Latham, D.","Undergraduate perceptions of information literacy: Defining, attaining, and self-assessing skills",2009,College & Research Libraries,https://doi.org/10.5860/crl.70.4.336
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_11,"Julien, H., & Barker, S.",How high-school students find and evaluate scientific information: A basis for information literacy skills development,2009,Library & Information Science Research,https://doi.org/10.1016/j.lisr.2009.02.004
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_12,"Kuhlthau, C. C.",Inside the search process: Information seeking from the user's perspective,1991,Journal of the American Society for Information Science,https://doi.org/10.1002/(SICI)1097-4571(199106)42:5<361::AID-ASI6>3.0.CO;2-#
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_13,"Kuhlthau, C. C.",A principle of uncertainty for information seeking,1993,Journal of Documentation,https://doi.org/10.1108/eb026918
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_14,"Kuhlthau, C. C.",Seeking meaning: A process approach to library and information services,2004,Libraries Unlimited,
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_15,"Kuhlthau, C. C., Heinström, J., & Todd, R. J.",The 'information search process' revisited: Is the model still useful?,2008,Information Research,http://informationr.net/ir/13-4/paper355.html
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_16,"Meyers, E. M., Fisher, K. E., & Marcoux, E.",Making sense of an information world: The everyday-life information behavior of preteens,2009,The Library Quarterly,https://doi.org/10.1086/593375
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_17,"Shenton, A. K., & Dixon, P.",The development of young people's information-seeking behavior,2003,Library & Information Science Research,https://doi.org/10.1016/S0740-8188(03)00048-9
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_18,"Shenton, A. K., & Dixon, P.",Issues arising from youngsters' information-seeking behavior,2004,Library & Information Science Research,https://doi.org/10.1016/j.lisr.2003.09.004
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_19,"Shenton, A. K., & Hay-Gibson, N. V.",Information behaviour and information literacy in the digital environment,2011,Aslib Proceedings,https://doi.org/10.1108/00012531111139085
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_20,"Vakkari, P.",Task-based information searching,2003,Annual Review of Information Science and Technology,https://doi.org/10.1002/aris.1440370106
United States,High Income,Use,Claude-Haiku,United States_Use_1,"Metzger, M. J., & Flanagin, A. J.",Credibility and trust of information in online environments: The use of cognitive heuristics,2013,Journal of Pragmatics,https://doi.org/10.1016/j.pragma.2012.07.005
United States,High Income,Use,Claude-Haiku,United States_Use_2,"Sundar, S. S.",The MAIN model: A heuristic approach to understanding technology effects on credibility,2008,"Digital media, youth, and credibility",https://doi.org/10.1162/dmal.9780262562324.073
United States,High Income,Use,Claude-Haiku,United States_Use_3,"Hilligoss, B., & Rieh, S. Y.","Developing a unifying framework of credibility assessment: Construct, heuristics, and interaction in context",2008,Information Processing & Management,https://doi.org/10.1016/j.ipm.2007.10.001
United States,High Income,Use,Claude-Haiku,United States_Use_4,"Flanagin, A. J., & Metzger, M. J.","The role of site features, user attributes, and information verification behaviors on the perceived credibility of web-based information",2007,New Media & Society,https://doi.org/10.1177/1461444807080728
United States,High Income,Use,Claude-Haiku,United States_Use_5,"Fogg, B. J., Soohoo, C., Danielson, D. R., Marable, L., Stanford, J., & Tauber, E. R.","How do users evaluate the credibility of Web sites?: a study with over 2,500 participants",2003,Proceedings of the 2003 conference on Designing for user experiences,https://doi.org/10.1145/997078.997097
United States,High Income,Use,Claude-Haiku,United States_Use_6,"Metzger, M. J.",Making sense of credibility on the Web: Models for evaluating online information and recommendations for future research,2007,Journal of the American Society for Information Science and Technology,https://doi.org/10.1002/asi.20672
United States,High Income,Use,Claude-Haiku,United States_Use_7,"Rieh, S. Y.",Judgment of information quality and cognitive authority in the Web,2002,Journal of the American Society for Information Science and Technology,https://doi.org/10.1002/asi.10017
United States,High Income,Use,Claude-Haiku,United States_Use_8,"Wathen, C. N., & Burkell, J.",Believe it or not: Factors influencing credibility on the Web,2002,Journal of the American Society for Information Science and Technology,https://doi.org/10.1002/asi.10016
United States,High Income,Use,Claude-Haiku,United States_Use_9,"Lucassen, T., & Schraagen, J. M.",Evaluating information on the web: Towards a more reliable user behavior,2013,Proceedings of the 2013 conference on Computer supported cooperative work,https://doi.org/10.1145/2441776.2441786
United States,High Income,Use,Claude-Haiku,United States_Use_10,"Metzger, M. J., Flanagin, A. J., & Medders, R. B.",Social and heuristic approaches to credibility evaluation online,2010,Journal of Communication,https://doi.org/10.1111/j.1460-2466.2010.01488.x
United States,High Income,Use,Claude-Haiku,United States_Use_11,"Metzger, M. J., Flanagin, A. J., Eyal, K., Lemus, D. R., & McCann, R. M.","Credibility for the 21st century: Integrating perspectives on source, message, and media credibility in the contemporary media environment",2003,Annals of the International Communication Association,https://doi.org/10.1080/23808985.2003.11679029
United States,High Income,Use,Claude-Haiku,United States_Use_12,"Flanagin, A. J., & Metzger, M. J.",Perceptions of Internet information credibility,2000,Journalism & Mass Communication Quarterly,https://doi.org/10.1177/107769900007700107
United States,High Income,Use,Claude-Haiku,United States_Use_13,"Fogg, B. J., Marshall, J., Laraki, O., Osipovich, A., Varma, C., Fang, N., ... & Treinen, M.",What makes Web sites credible?: a report on a large quantitative study,2001,Proceedings of the SIGCHI conference on Human factors in computing systems,https://doi.org/10.1145/365024.365037
United States,High Income,Use,Claude-Haiku,United States_Use_14,"Rieh, S. Y., & Hilligoss, B.",College students' credibility judgments in the information-seeking process,2008,"Digital media, youth, and credibility",https://doi.org/10.1162/dmal.9780262562324.049
United States,High Income,Use,Claude-Haiku,United States_Use_15,"Metzger, M. J., Flanagin, A. J., & Zwarun, L.","College student Web use, perceptions of information credibility, and verification behavior",2003,Computers & Education,https://doi.org/10.1016/S0360-1315(03)00042-7
