Country,Income_Level,Prompt_Type,LLM,Citation_ID,Author,Title,Year,Journal,DOI,DOI_Valid,Geographic_Relevant,CrossRef_Title,CrossRef_Authors,CrossRef_Year,CrossRef_Journal,Validation_Error
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_1,"Agosto, D. E., & Hughes-Hassell, S.","Toward a model of the everyday life information needs of urban teenagers, part 1: Theoretical model",2005,Journal of the American Society for Information Science and Technology,https://doi.org/10.1002/asi.20127,True,True,Validation of a model of information seeking over multiple search sessions,Shin‐jeng Lin; Nick Belkin,2005,Journal of the American Society for Information Science and Technology,
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_2,"Agosto, D. E., & Hughes-Hassell, S.","Toward a model of the everyday life information needs of urban teenagers, part 2: Empirical model",2005,Journal of the American Society for Information Science and Technology,https://doi.org/10.1002/asi.20128,True,True,Internetworking of factors affecting successive searches over multiple episodes,Shin‐jeng Lin,2005,Journal of the American Society for Information Science and Technology,
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_3,"Connaway, L. S., Dickey, T. J., & Radford, M. L.","If it is too inconvenient I'm not going after it:"" Convenience as a critical factor in information-seeking behaviors",2011,Library & Information Science Research,https://doi.org/10.1016/j.lisr.2010.12.002,True,False,“If it is too inconvenient I'm not going after it:” Convenience as a critical factor in information-seeking behaviors,Lynn Sillipigni Connaway; Timothy J. Dickey; Marie L. Radford,2011,Library &amp; Information Science Research,
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_4,"Dresang, E. T.",Radical change revisited: Dynamic digital age books for youth,2008,Contemporary Issues in Technology and Teacher Education,https://www.learntechlib.org/p/24537/,False,False,,,,,Invalid DOI format
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_5,"Dresang, E. T., & Koh, K.","Radical change theory, youth information behavior, and school libraries",2009,Library Trends,https://doi.org/10.1353/lib.0.0065,True,False,Leisure and Work in Library and Community Programs for Very Young Children,Roz Stooke; Pamela J. McKenzie,2009,Library Trends,
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_6,"Fidel, R., & Green, M.",The many faces of accessibility: Engineers' perception of information sources,2004,Information Processing & Management,https://doi.org/10.1016/j.ipm.2003.08.001,True,False,A generic ranking function discovery framework by genetic programming for information retrieval,Weiguo Fan; Michael D Gordon; Praveen Pathak,2004,Information Processing &amp; Management,
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_7,"Gross, M.",The imposed query and information services for children,1995,Journal of Youth Services in Libraries,https://eric.ed.gov/?id=EJ511651,False,False,,,,,Invalid DOI format
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_8,"Gross, M.",Imposed queries in the school library media center: A descriptive study,1998,Library & Information Science Research,https://doi.org/10.1016/S0740-8188(98)90008-3,False,False,,,,,DOI not found in CrossRef
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_9,"Gross, M.",Children's information seeking at school: Findings from a qualitative study,2004,Proceedings of the American Society for Information Science and Technology,https://doi.org/10.1002/meet.1450410135,True,True,"A flexible image browsing interface tester: Design, implementation and preliminary results in a face recognition test",Peter E. Jörgensen,2004,Proceedings of the American Society for Information Science and Technology,
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_10,"Gross, M., & Latham, D.","Undergraduate perceptions of information literacy: Defining, attaining, and self-assessing skills",2009,College & Research Libraries,https://doi.org/10.5860/crl.70.4.336,True,False,"Undergraduate Perceptions of Information Literacy: Defining, Attaining, and Self-Assessing Skills",M. Gross; D. Latham,2009,College &amp; Research Libraries,
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_11,"Julien, H., & Barker, S.",How high-school students find and evaluate scientific information: A basis for information literacy skills development,2009,Library & Information Science Research,https://doi.org/10.1016/j.lisr.2009.02.004,False,False,,,,,DOI not found in CrossRef
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_12,"Kuhlthau, C. C.",Inside the search process: Information seeking from the user's perspective,1991,Journal of the American Society for Information Science,https://doi.org/10.1002/(SICI)1097-4571(199106)42:5<361::AID-ASI6>3.0.CO;2-#,True,True,Inside the search process: Information seeking from the user's perspective,Carol C. Kuhlthau,1991,Journal of the American Society for Information Science,
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_13,"Kuhlthau, C. C.",A principle of uncertainty for information seeking,1993,Journal of Documentation,https://doi.org/10.1108/eb026918,True,True,A PRINCIPLE OF UNCERTAINTY FOR INFORMATION SEEKING,CAROL C. KUHLTHAU,1993,Journal of Documentation,
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_14,"Kuhlthau, C. C.",Seeking meaning: A process approach to library and information services,2004,Libraries Unlimited,,False,False,,,,,No DOI provided
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_15,"Kuhlthau, C. C., Heinström, J., & Todd, R. J.",The 'information search process' revisited: Is the model still useful?,2008,Information Research,http://informationr.net/ir/13-4/paper355.html,False,False,,,,,Invalid DOI format
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_16,"Meyers, E. M., Fisher, K. E., & Marcoux, E.",Making sense of an information world: The everyday-life information behavior of preteens,2009,The Library Quarterly,https://doi.org/10.1086/593375,True,False,"Information Literacy, “New” Literacies, and Literacy",By John Buschman,2009,The Library Quarterly,
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_17,"Shenton, A. K., & Dixon, P.",The development of young people's information-seeking behavior,2003,Library & Information Science Research,https://doi.org/10.1016/S0740-8188(03)00048-9,False,False,,,,,DOI not found in CrossRef
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_18,"Shenton, A. K., & Dixon, P.",Issues arising from youngsters' information-seeking behavior,2004,Library & Information Science Research,https://doi.org/10.1016/j.lisr.2003.09.004,False,False,,,,,DOI not found in CrossRef
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_19,"Shenton, A. K., & Hay-Gibson, N. V.",Information behaviour and information literacy in the digital environment,2011,Aslib Proceedings,https://doi.org/10.1108/00012531111139085,False,False,,,,,DOI not found in CrossRef
United States,High Income,Seeking,Claude-Haiku,United States_Seeking_20,"Vakkari, P.",Task-based information searching,2003,Annual Review of Information Science and Technology,https://doi.org/10.1002/aris.1440370106,True,False,Visualizing knowledge domains,Katy Börner; Chaomei Chen; Kevin W. Boyack,2003,Annual Review of Information Science and Technology,
United States,High Income,Use,Claude-Haiku,United States_Use_1,"Metzger, M. J., & Flanagin, A. J.",Credibility and trust of information in online environments: The use of cognitive heuristics,2013,Journal of Pragmatics,https://doi.org/10.1016/j.pragma.2012.07.005,True,False,Embodied withdrawal after overlap resolution,Florence Oloff,2013,Journal of Pragmatics,
United States,High Income,Use,Claude-Haiku,United States_Use_2,"Sundar, S. S.",The MAIN model: A heuristic approach to understanding technology effects on credibility,2008,"Digital media, youth, and credibility",https://doi.org/10.1162/dmal.9780262562324.073,False,False,,,,,DOI not found in CrossRef
United States,High Income,Use,Claude-Haiku,United States_Use_3,"Hilligoss, B., & Rieh, S. Y.","Developing a unifying framework of credibility assessment: Construct, heuristics, and interaction in context",2008,Information Processing & Management,https://doi.org/10.1016/j.ipm.2007.10.001,True,False,"Developing a unifying framework of credibility assessment: Construct, heuristics, and interaction in context",Brian Hilligoss; Soo Young Rieh,2008,Information Processing &amp; Management,
United States,High Income,Use,Claude-Haiku,United States_Use_4,"Flanagin, A. J., & Metzger, M. J.","The role of site features, user attributes, and information verification behaviors on the perceived credibility of web-based information",2007,New Media & Society,https://doi.org/10.1177/1461444807080728,False,False,,,,,DOI not found in CrossRef
