Country,Income_Level,Prompt_Type,LLM,Citation_ID,Author,Title,Year,Journal,DOI
United States,High Income,Seeking,DeepSeek-Chat,United States_Seeking_1,"Savolainen, Reijo","Everyday life information seeking: Approaching information seeking in the context of ""way of life",1995,Library & Information Science Research,10.1016/0740-8188(95)90048-9
United States,High Income,Seeking,DeepSeek-Chat,United States_Seeking_2,"Case, Donald O.","Looking for Information: A Survey of Research on Information Seeking, Needs, and Behavior",2012,Journal of the American Society for Information Science and Technology,10.1002/asi.22656
United States,High Income,Seeking,DeepSeek-Chat,United States_Seeking_3,"Wilson, T. D.",Human information behavior,2000,Informing Science,10.28945/576
United States,High Income,Seeking,DeepSeek-Chat,United States_Seeking_4,"Kuhlthau, Carol C.",Inside the search process: Information seeking from the user's perspective,1991,Journal of the American Society for Information Science,10.1002/(SICI)1097-4571(199106)42:5<361::AID-ASI6>3.0.CO;2-#
United States,High Income,Seeking,DeepSeek-Chat,United States_Seeking_5,"Bates, Marcia J.",The design of browsing and berrypicking techniques for the online search interface,1989,Online Review,10.1108/eb024320
United States,High Income,Seeking,DeepSeek-Chat,United States_Seeking_6,"Dervin, Brenda",From the mind's eye of the user: The sense-making qualitative-quantitative methodology,1992,Journal of the American Society for Information Science,10.1002/(SICI)1097-4571(199206)43:5<361::AID-ASI4>3.0.CO;2-3
United States,High Income,Seeking,DeepSeek-Chat,United States_Seeking_7,"Ellis, David",Modeling the information-seeking patterns of academic researchers: A grounded theory approach,1993,The Library Quarterly,10.1086/602724
United States,High Income,Seeking,DeepSeek-Chat,United States_Seeking_8,"Marchionini, Gary",Information seeking in electronic environments,1995,Journal of the American Society for Information Science,10.1002/(SICI)1097-4571(199503)46:2<153::AID-ASI8>3.0.CO;2-3
United States,High Income,Seeking,DeepSeek-Chat,United States_Seeking_9,"Hargittai, Eszter","Digital na(t)ives? Variation in internet skills and uses among members of the ""net generation",2010,Sociological Inquiry,10.1111/j.1475-682X.2010.00365.x
United States,High Income,Seeking,DeepSeek-Chat,United States_Seeking_10,"Pirolli, Peter",Information foraging theory: Adaptive interaction with information,2007,Human-Computer Interaction,10.1080/07370020701348403
United States,High Income,Seeking,DeepSeek-Chat,United States_Seeking_11,"Spink, Amanda",Information behavior: An evolutionary instinct,2010,Information Processing & Management,10.1016/j.ipm.2009.06.001
United States,High Income,Seeking,DeepSeek-Chat,United States_Seeking_12,"Chatman, Elfreda A.",The impoverished life-world of outsiders,1996,Journal of the American Society for Information Science,10.1002/(SICI)1097-4571(199603)47:3<193::AID-ASI3>3.0.CO;2-T
United States,High Income,Seeking,DeepSeek-Chat,United States_Seeking_13,"Fisher, Karen E.",Information grounds: Theoretical basis and empirical findings on information flow in social settings,2006,New Directions in Human Information Behavior,10.1007/1-4020-3670-1_5
United States,High Income,Seeking,DeepSeek-Chat,United States_Seeking_14,"Rieh, Soo Young",Judgment of information quality and cognitive authority in the Web,2002,Journal of the American Society for Information Science and Technology,10.1002/asi.10082
United States,High Income,Seeking,DeepSeek-Chat,United States_Seeking_15,"Johnson, J. David",Cancer-related information seeking,1997,Health Communication,10.1207/s15327027hc0901_1
United States,High Income,Seeking,DeepSeek-Chat,United States_Seeking_16,"Todd, Ross J.","Adolescents of the information age: Patterns of information seeking and use, and implications for information professionals",2003,School Libraries Worldwide,10.29173/slw6799
United States,High Income,Seeking,DeepSeek-Chat,United States_Seeking_17,"Nahl, Diane",Affective monitoring of Internet learners: Perceived self-efficacy and success,2007,Journal of the American Society for Information Science and Technology,10.1002/asi.20531
United States,High Income,Seeking,DeepSeek-Chat,United States_Seeking_18,"Julien, Heidi",Information behavior in pre-employment contexts: A study of the role of information in occupational choice,1999,Journal of Documentation,10.1108/EUM0000000007153
United States,High Income,Seeking,DeepSeek-Chat,United States_Seeking_19,"Connaway, Lynn Silipigni","Digital information seekers: Report of findings from selected OCLC, RIN, and JISC user behaviour projects",2011,Journal of Documentation,10.1108/00220411111145043
United States,High Income,Seeking,DeepSeek-Chat,United States_Seeking_20,"Xie, Iris",Understanding human-work domain interaction: Implications for the design of a corporate digital library,2006,Journal of the American Society for Information Science and Technology,10.1002/asi.20381
United States,High Income,Use,DeepSeek-Chat,United States_Use_1,"Metzger, M. J.",Making sense of credibility on the Web: Models for evaluating online information and recommendations for future research,2007,Journal of the American Society for Information Science and Technology,10.1002/asi.20672
United States,High Income,Use,DeepSeek-Chat,United States_Use_2,"Flanagin, A. J. & Metzger, M. J.","The role of site features, user attributes, and information verification behaviors on the perceived credibility of web-based information",2007,New Media & Society,10.1177/1461444807075015
United States,High Income,Use,DeepSeek-Chat,United States_Use_3,"Hargittai, E.","Digital na(t)ives? Variation in internet skills and uses among members of the ""net generation",2010,Sociological Inquiry,10.1111/j.1475-682X.2010.00365.x
United States,High Income,Use,DeepSeek-Chat,United States_Use_4,"Kahne, J. & Bowyer, B.",Educating for democracy in a partisan age: Confronting the challenges of motivated reasoning and misinformation,2017,American Educational Research Journal,10.3102/0002831217712617
United States,High Income,Use,DeepSeek-Chat,United States_Use_5,"Wineburg, S. et al.",Evaluating information: The cornerstone of civic online reasoning,2016,Educational Researcher,10.3102/0013189X16683408
United States,High Income,Use,DeepSeek-Chat,United States_Use_6,"Guess, A. et al.",Less than you think: Prevalence and predictors of fake news dissemination on Facebook,2019,Science Advances,10.1126/sciadv.aau4586
United States,High Income,Use,DeepSeek-Chat,United States_Use_7,"Pennycook, G. & Rand, D. G.","Lazy, not biased: Susceptibility to partisan fake news is better explained by lack of reasoning than by motivated reasoning",2019,Cognition,10.1016/j.cognition.2018.06.011
United States,High Income,Use,DeepSeek-Chat,United States_Use_8,"Lazer, D. M. J. et al.",The science of fake news,2018,Science,10.1126/science.aao2998
United States,High Income,Use,DeepSeek-Chat,United States_Use_9,"Allcott, H. & Gentzkow, M.",Social media and fake news in the 2016 election,2017,Journal of Economic Perspectives,10.1257/jep.31.2.211
United States,High Income,Use,DeepSeek-Chat,United States_Use_10,"Vosoughi, S. et al.",The spread of true and false news online,2018,Science,10.1126/science.aap9559
United States,High Income,Use,DeepSeek-Chat,United States_Use_11,"Bode, L. & Vraga, E. K.","In related news, that was wrong: The correction of misinformation through related stories functionality in social media",2015,Journal of Communication,10.1111/jcom.12166
United States,High Income,Use,DeepSeek-Chat,United States_Use_12,"Nyhan, B. & Reifler, J.",When corrections fail: The persistence of political misperceptions,2010,Political Behavior,10.1007/s11109-010-9112-2
United States,High Income,Use,DeepSeek-Chat,United States_Use_13,"Scheufele, D. A. & Krause, N. M.","Science audiences, misinformation, and fake news",2019,Proceedings of the National Academy of Sciences,10.1073/pnas.1912430117
United States,High Income,Use,DeepSeek-Chat,United States_Use_14,"Southwell, B. G. et al.",Misinformation and mass audiences,2018,University of Texas Press,10.7560/314555
United States,High Income,Use,DeepSeek-Chat,United States_Use_15,"Eveland, W. P. & Cooper, K. E.",An integrated model of communication influence on beliefs,2013,Proceedings of the National Academy of Sciences,10.1073/pnas.1212742110
United States,High Income,Use,DeepSeek-Chat,United States_Use_16,"Druckman, J. N. & McGrath, M. C.",The evidence for motivated reasoning in climate change preference formation,2019,Nature Climate Change,10.1038/s41558-019-0541-6
United States,High Income,Use,DeepSeek-Chat,United States_Use_17,"Kahan, D. M. et al.",Motivated numeracy and enlightened self-government,2017,Behavioural Public Policy,10.1017/bpp.2016.2
United States,High Income,Use,DeepSeek-Chat,United States_Use_18,"Tandoc, E. C. et al.","Defining ""fake news"": A typology of scholarly definitions",2018,Digital Journalism,10.1080/21670811.2017.1360143
United States,High Income,Use,DeepSeek-Chat,United States_Use_19,"Lewandowsky, S. et al.","Beyond misinformation: Understanding and coping with the ""post-truth"" era",2017,Journal of Applied Research in Memory and Cognition,10.1016/j.jarmac.2017.07.008
United States,High Income,Use,DeepSeek-Chat,United States_Use_20,"Britt, M. A. et al.",A reasoned approach to dealing with fake news,2019,Policy Insights from the Behavioral and Brain Sciences,10.1177/2372732219860945
United States,High Income,Sharing,DeepSeek-Chat,United States_Sharing_1,Here are 20 academic journal articles that study information sharing,dissemination,and communication behaviors in the United States,formatted as a tab-delimited table:,
United States,High Income,Sharing,DeepSeek-Chat,United States_Sharing_2,Brossard,D.,& Scheufele,D. A.	Science,new media
United States,High Income,Sharing,DeepSeek-Chat,United States_Sharing_3,Southwell,B. G.,& Yzer,M. C.	The roles of interpersonal communication in mass media campaigns	2007	Communication Yearbook	10.1080/23808985.2007.11679076,
United States,High Income,Sharing,DeepSeek-Chat,United States_Sharing_4,Scheufele,D. A.,& Tewksbury,D.	Framing,agenda setting
United States,High Income,Sharing,DeepSeek-Chat,United States_Sharing_5,Neuman,W. R.,Guggenheim,L.,Jang
United States,High Income,Sharing,DeepSeek-Chat,United States_Sharing_6,Tsfati,Y.,& Cappella,J. N.	Why do people watch news they do not trust? The need for cognition as a moderator in the association between news media skepticism and exposure	2005	Media Psychology	10.1207/s1532785xmep0702_3,
United States,High Income,Sharing,DeepSeek-Chat,United States_Sharing_7,Valenzuela,S.,Park,N.,& Kee
United States,High Income,Sharing,DeepSeek-Chat,United States_Sharing_8,Gil de Zúñiga,H.,Jung,N.,& Valenzuela
United States,High Income,Sharing,DeepSeek-Chat,United States_Sharing_9,Metzger,M. J.,Flanagin,A. J.,& Medders
United States,High Income,Sharing,DeepSeek-Chat,United States_Sharing_10,Eveland,W. P.,& Hively,M. H.	Political discussion frequency,network size
United States,High Income,Sharing,DeepSeek-Chat,United States_Sharing_11,Shah,D. V.,Cho,J.,Eveland
United States,High Income,Sharing,DeepSeek-Chat,United States_Sharing_12,Kim,Y.,& Hsu,S. H.	Political discussion on social media: The role of strong and weak ties in political expression and participation	2018	New Media & Society	10.1177/1461444817743618,
United States,High Income,Sharing,DeepSeek-Chat,United States_Sharing_13,Bode,L.	Political news in the news feed: Learning politics from social media	2016	Mass Communication and Society	10.1080/15205436.2015.1045149,,,
United States,High Income,Sharing,DeepSeek-Chat,United States_Sharing_14,Weeks,B. E.,Ardèvol-Abreu,A.,& Gil de Zúñiga
United States,High Income,Sharing,DeepSeek-Chat,United States_Sharing_15,Guess,A. M.,Nyhan,B.,& Reifler
United States,High Income,Sharing,DeepSeek-Chat,United States_Sharing_16,Garrett,R. K.	Echo chambers online?: Politically motivated selective exposure among Internet news users	2009	Journal of Computer-Mediated Communication	10.1111/j.1083-6101.2009.01440.x,,,
United States,High Income,Sharing,DeepSeek-Chat,United States_Sharing_17,Stroud,N. J.	Polarization and partisan selective exposure	2010	Journal of Communication	10.1111/j.1460-2466.2010.01497.x,,,
United States,High Income,Sharing,DeepSeek-Chat,United States_Sharing_18,Weeks,B. E.,& Holbert,R. L.	Predicting dissemination of news content in social media: A focus on reception,friending
