Country,Income_Level,Prompt_Type,LLM,Citation_ID,Author,Title,Year,Journal,DOI,DOI_Valid,Geographic_Relevant,CrossRef_Title,CrossRef_Authors,CrossRef_Year,CrossRef_Journal,Validation_Error
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_1,"Bates, M. J.",Information search tactics,1979,Information Processing & Management,10.1016/0306-4573(79)90006-0,False,False,,,,,DOI not found in CrossRef
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_2,"Kuhlthau, C. C.",Information search process: A summary of research and implications for instruction and information policy,1991,Library Trends,10.1353/lib.1991.0030,False,False,,,,,DOI not found in CrossRef
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_3,"Savolainen, R.",The sense-making approach: A framework for analysing information seeking and use,1995,Information Processing & Management,10.1016/0306-4573(95)00028-9,False,False,,,,,DOI not found in CrossRef
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_4,"Case, D. O.","Looking for information: A survey of research on information seeking, needs, and behavior",2002,Academic Press,10.1016/B978-012163630-5/50002-0,False,False,,,,,DOI not found in CrossRef
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_5,"Chatman, E. A.",The information world of retired women,1996,The Library Quarterly,10.1086/602705,True,False,<i>A Desire to Learn: Selected Writings</i>. Eric Moon,,1994,The Library Quarterly,
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_6,"Taylor, R. S.",Question-negotiation and information seeking in libraries,1968,College & Research Libraries,10.5860/crl.29.3.178,False,False,,,,,DOI not found in CrossRef
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_7,"Vakkari, P.",Information seeking in context: A review of research on information seeking,2003,Annual Review of Information Science and Technology,10.1002/aris.1450370106,False,False,,,,,DOI not found in CrossRef
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_8,"Marchionini, G.",Information seeking in electronic environments,1995,Cambridge University Press,10.1017/CBO9780511558045,False,False,,,,,DOI not found in CrossRef
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_9,"Ingwersen, P.",Information retrieval interaction,1992,Taylor Graham,10.1007/978-94-011-2377-6,False,False,,,,,DOI not found in CrossRef
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_10,"Hertzum, M.",The information-seeking practices of software developers,2002,Information Processing & Management,10.1016/S0306-4573(01)00045-8,False,False,,,,,DOI not found in CrossRef
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_11,"Fisher, K. E., Erdelez, S., & McKechnie, L.",Theories of information behavior,2005,Information Today,10.1007/978-3-319-60907-5_2,False,False,,,,,DOI not found in CrossRef
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_12,"Johnson, J. D.",Information seeking: An overview,1997,Annual Review of Information Science and Technology,10.1002/aris.1450320104,False,False,,,,,DOI not found in CrossRef
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_1,"Eisenberg, M. B. & Berkowitz, R. E.",Information literacy: Instruction for the information age,1999,Educational Leadership,10.1007/978-3-319-61742-6_1,False,False,,,,,DOI not found in CrossRef
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_2,"Kuhlthau, C. C.",Seeking meaning: A process approach to library and information services,1993,School Libraries Worldwide,10.1108/02642779310045765,False,False,,,,,DOI not found in CrossRef
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_3,"Lloyd, A.","Information literacy landscapes: Information literacy in education, workplace and community contexts",2010,Library & Information Science Research,10.1016/j.lisr.2010.01.002,True,False,A study of Web 2.0 applications in library websites,Alton Y.K. Chua; Dion H Goh,2010,Library &amp; Information Science Research,
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_4,"Sonnenwald, D. H.",Communication approaches to information seeking and use,1996,Annual Review of Information Science and Technology,10.1002/aris.1440310104,False,False,,,,,DOI not found in CrossRef
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_5,"Spink, A. & Cole, C.",Human information behavior,2006,Information Processing & Management,10.1016/j.ipm.2005.06.006,True,False,Examining and improving the effectiveness of relevance feedback for retrieval of scanned text documents,Adenike M. Lam-Adesina; Gareth J.F. Jones,2006,Information Processing &amp; Management,
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_6,"Case, D. O.","Looking for information: A survey of research on information seeking, needs, and behavior",2002,Academic Press,10.1016/B978-012163651-0/50003-8,False,False,,,,,DOI not found in CrossRef
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_7,"Savolainen, R.",Information seeking and retrieval,2007,Annual Review of Information Science and Technology,10.1002/aris.2007.1440410106,True,False,About the Editor,,2007,Annual Review of Information Science and Technology,
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_8,"Chatman, E. A.",The information world of retired women,1996,The Library Quarterly,10.1086/602804,True,True,"<i>African-American Voices in Young Adult Literature: Tradition, Transition, Transformation</i>. Karen Patricia Smith",Virginia A. Walter,1995,The Library Quarterly,
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_9,"Taylor, R. S.",Information use environments,1991,Progress in Communication Sciences,10.1016/S0163-5694(08)60005-8,False,False,,,,,DOI not found in CrossRef
