Country,Income_Level,Prompt_Type,LLM,Citation_ID,Author,Title,Year,Journal,DOI
United States,High Income,Seeking,OpenAI-GPT4o-mini,United States_Seeking_1,"Bates, M. J.",Information behavior,2005,Annual Review of Information Science and Technology,10.1002/aris.144
United States,High Income,Seeking,OpenAI-GPT4o-mini,United States_Seeking_2,"Case, D. O.","Looking for Information: A Survey of Research on Information Seeking, Needs, and Behavior",2007,Annual Review of Information Science and Technology,10.1002/aris.144
United States,High Income,Seeking,OpenAI-GPT4o-mini,United States_Seeking_3,"Fisher, K. E., & Naumer, C. M.",Information grounds: The role of social networks in information seeking,2006,Journal of Documentation,10.1108/00220410610685573
United States,High Income,Seeking,OpenAI-GPT4o-mini,United States_Seeking_4,"Kuhlthau, C. C.",Seeking Meaning: A Process Approach to Library and Information Services,2004,American Library Association,10.5860/choice.42-1642
United States,High Income,Seeking,OpenAI-GPT4o-mini,United States_Seeking_5,"Savolainen, R.",Everyday Information Seeking: Approaching Information Seeking in the Context of Everyday Life,2007,Library & Information Science Research,10.1016/j.lisr.2007.01.002
United States,High Income,Seeking,OpenAI-GPT4o-mini,United States_Seeking_6,"Shenton, A. K.",Strategies for ensuring trustworthiness in qualitative research projects,2004,Education for Information,10.3233/EFI-2004-22101
United States,High Income,Seeking,OpenAI-GPT4o-mini,United States_Seeking_7,"Tedd, L. A.",Information seeking behavior of researchers in the UK,2005,Library Review,10.1108/00242530510597479
United States,High Income,Seeking,OpenAI-GPT4o-mini,United States_Seeking_8,"Wilson, T. D.",Information behavior: An interdisciplinary perspective,2000,Information Processing & Management,10.1016/S0306-4573(99)00051-4
United States,High Income,Seeking,OpenAI-GPT4o-mini,United States_Seeking_9,"Bawden, D., & Robinson, L.",Introduction to Information Science,2012,Facet Publishing,10.5860/choice.50-0666
United States,High Income,Seeking,OpenAI-GPT4o-mini,United States_Seeking_10,"Dervin, B.",From the mind's eye of the user: The sense-making qualitative-quantitative methodology,1992,Qualitative Research in Information Management,10.1108/978178635118-003
United States,High Income,Seeking,OpenAI-GPT4o-mini,United States_Seeking_11,"Jansen, B. J., & Spink, A.",How are we searching the World Wide Web? A comparison of nine search engine transaction logs,2006,Information Processing & Management,10.1016/j.ipm.2005.07.001
United States,High Income,Seeking,OpenAI-GPT4o-mini,United States_Seeking_12,"Marchionini, G.",Exploratory search: From finding to understanding,2006,Communications of the ACM,10.1145/1124772.1124780
United States,High Income,Seeking,OpenAI-GPT4o-mini,United States_Seeking_13,"Meyer, E. T., & Schroeder, R.",Information seeking in the digital age: A study of the information behavior of researchers,2015,Information Research,10.29173/irsh-2154
United States,High Income,Seeking,OpenAI-GPT4o-mini,United States_Seeking_14,"Nahl, D.",Information behavior and the role of the information professional,2007,Library & Information Science Research,10.1016/j.lisr.2007.01.003
United States,High Income,Seeking,OpenAI-GPT4o-mini,United States_Seeking_15,"Rowlands, I., & Nicholas, D.",Understanding information behavior in the digital age: A study of the information-seeking behavior of researchers,2008,Library & Information Science Research,10.1016/j.lisr.2008.02.002
United States,High Income,Seeking,OpenAI-GPT4o-mini,United States_Seeking_16,"Savolainen, R.",Networked information seeking: A study of the information behavior of researchers,2008,Information Research,10.29173/irsh-2154
United States,High Income,Seeking,OpenAI-GPT4o-mini,United States_Seeking_17,"Spink, A., & Jansen, B. J.",Searchers' selection of search engines: A study of the information-seeking behavior of users,2004,Information Processing & Management,10.1016/j.ipm.2004.05.001
United States,High Income,Seeking,OpenAI-GPT4o-mini,United States_Seeking_18,"Toms, E. G.",Understanding the information behavior of users: A study of the information-seeking behavior of researchers,2002,Journal of Documentation,10.1108/00220410210418457
United States,High Income,Seeking,OpenAI-GPT4o-mini,United States_Seeking_19,"Vakkari, P.",Exploring the relationship between information seeking and information use: A study of the information behavior of researchers,2001,Journal of Documentation,10.1108/EUM0000000007082
United States,High Income,Use,OpenAI-GPT4o-mini,United States_Use_1,"Metzger, M. J., & Flanagin, A. J.",Communication in a Digital Age: The Role of Information Literacy,2013,Communication Research,10.1177/0093650212453825
United States,High Income,Use,OpenAI-GPT4o-mini,United States_Use_2,"Mackey, T. P., & Jacobson, T. E.",Reframing Information Literacy as a Metaliteracy,2014,Communications in Information Literacy,10.15760/comminfolit.2014.8.1.157
United States,High Income,Use,OpenAI-GPT4o-mini,United States_Use_3,"Head, A. J., & Eisenberg, M. B.",How Today’s College Students Use Wikipedia for Course-Related Research,2010,First Monday,10.5210/fm.v15i3.2830
United States,High Income,Use,OpenAI-GPT4o-mini,United States_Use_4,"Hargittai, E.",Second-Level Digital Divide: Mapping Differences in People's Online Skills,2002,First Monday,10.5210/fm.v7i4.942
United States,High Income,Use,OpenAI-GPT4o-mini,United States_Use_5,"Bawden, D., & Robinson, L.",Introduction to Information Science,2012,Library and Information Science Research,10.1016/j.lisr.2012.06.001
United States,High Income,Use,OpenAI-GPT4o-mini,United States_Use_6,"Lloyd, A.",Information Literacy Landscapes: An Emerging Model,2010,Journal of Documentation,10.1108/00220411011018163
United States,High Income,Use,OpenAI-GPT4o-mini,United States_Use_7,"Kuhlthau, C. C.",Seeking Meaning: A Process Approach to Library and Information Services,2004,Library and Information Science Research,10.1016/j.lisr.2004.04.001
United States,High Income,Use,OpenAI-GPT4o-mini,United States_Use_8,"Bennett, S., & Maton, K.",Conceptualizing Student Learning in the Digital Age,2010,Computers & Education,10.1016/j.compedu.2010.01.002
United States,High Income,Use,OpenAI-GPT4o-mini,United States_Use_9,"Farkas, M.",Information Literacy and the Role of Libraries in the Digital Age,2013,Library Technology Reports,10.5860/ltr.57n2
United States,High Income,Use,OpenAI-GPT4o-mini,United States_Use_10,"Hepworth, M.",Understanding Information Literacy in the Digital Age,2014,Library Review,10.1108/LR-05-2013-0061
United States,High Income,Use,OpenAI-GPT4o-mini,United States_Use_11,"Fisher, K. E., & Naumer, C. M.",Information Grounds: The Role of Information in Everyday Life,2006,Journal of Documentation,10.1108/00220410610690170
United States,High Income,Use,OpenAI-GPT4o-mini,United States_Use_12,"Sullivan, P.",Information Literacy and the Role of the Librarian,2011,Reference Services Review,10.1108/00907321111109551
United States,High Income,Use,OpenAI-GPT4o-mini,United States_Use_13,"Lloyd, A.",Information Literacy: A Critical Approach,2010,Library Review,10.1108/00242531011018154
United States,High Income,Use,OpenAI-GPT4o-mini,United States_Use_14,"Rieh, S. Y., & Hilligoss, B.",College Students' Credibility Assessment of Information on the Web: A Study of the Role of Information Literacy,2007,Journal of Information Science,10.1177/0165551506071006
United States,High Income,Use,OpenAI-GPT4o-mini,United States_Use_15,"Bawden, D.",Information Overload: A Review,2008,Progress in Information Science,10.1016/j.pinfo.2008.03.001
United States,High Income,Use,OpenAI-GPT4o-mini,United States_Use_16,"Fisher, K. E.",Information Behavior of the Researcher: A Study of the Information Practices of Graduate Students,2005,Journal of the American Society for Information Science and Technology,10.1002/asi.20167
United States,High Income,Use,OpenAI-GPT4o-mini,United States_Use_17,"Kuhlthau, C. C.",Seeking Meaning: A Process Approach to Library and Information Services,2004,Library and Information Science Research,10.1016/j.lisr.2004.04.001
United States,High Income,Use,OpenAI-GPT4o-mini,United States_Use_18,"Lloyd, A.",Information Literacy: A Critical Approach,2010,Library Review,10.1108/00242531011018154
United States,High Income,Use,OpenAI-GPT4o-mini,United States_Use_19,"Head, A. J.",How College Students Use the Web to Conduct Everyday Life Research,2013,First Monday,10.5210/fm.v18i6.4326
United States,High Income,Sharing,OpenAI-GPT4o-mini,United States_Sharing_1,"Bennett, W. L., & Segerberg, A.",The logic of connective action: Digital media and the personalization of contentious politics,2012,"Information, Communication & Society",10.1080/1369118X.2012.670661
United States,High Income,Sharing,OpenAI-GPT4o-mini,United States_Sharing_2,"Hargittai, E.",Digital na(t)ives? Variation in Internet skills and uses among members of the 'Net Generation,2010,Sociological Inquiry,10.1111/j.1475-682X.2010.00317.x
United States,High Income,Sharing,OpenAI-GPT4o-mini,United States_Sharing_3,"Shin, J., & Thorson, K.",Information sharing and social media: The role of social capital,2017,Communication Research,10.1177/0093650215613134
United States,High Income,Sharing,OpenAI-GPT4o-mini,United States_Sharing_4,"Bishop, B.",Information sharing in the age of social media: A study of the role of social media in information dissemination,2016,International Journal of Information Management,10.1016/j.ijinfomgt.2015.12.001
United States,High Income,Sharing,OpenAI-GPT4o-mini,United States_Sharing_5,"Morris, M. R., & Teevan, J.",Social information sharing: A study of the role of social media in information dissemination,2016,Proceedings of the ACM Conference on Computer Supported Cooperative Work,10.1145/2818048.2819965
United States,High Income,Sharing,OpenAI-GPT4o-mini,United States_Sharing_6,"Kavanaugh, A. L., & Patterson, S. J.",Social media and information sharing: A study of the role of social media in information dissemination,2012,Proceedings of the 2012 iConference,10.9776/12176
United States,High Income,Sharing,OpenAI-GPT4o-mini,United States_Sharing_7,"Hsu, C. L., & Lin, J. C. C.","Acceptance of blog usage: The roles of technology acceptance, social influence, and knowledge sharing",2008,Information & Management,10.1016/j.im.2008.05.002
United States,High Income,Sharing,OpenAI-GPT4o-mini,United States_Sharing_8,"Rogers, E. M.",Diffusion of Innovations,2010,The Free Press,10.1007/s11628-010-0044-6
United States,High Income,Sharing,OpenAI-GPT4o-mini,United States_Sharing_9,"Huang, Y., & Hsieh, Y.",Information sharing in social media: The role of social capital,2018,Computers in Human Behavior,10.1016/j.chb.2017.11.045
United States,High Income,Sharing,OpenAI-GPT4o-mini,United States_Sharing_10,"Bennett, S. E., & Manheim, J. B.",Social media and the dissemination of political information: The role of social media in political communication,2016,Political Communication,10.1080/10584609.2015.1102142
United States,High Income,Sharing,OpenAI-GPT4o-mini,United States_Sharing_11,"Katz, E., & Lazarsfeld, P. F.",Personal Influence: The Part Played by People in the Flow of Mass Communications,1955,The Free Press,10.1007/s11628-010-0044-6
United States,High Income,Sharing,OpenAI-GPT4o-mini,United States_Sharing_12,"Wright, K. B., & Bell, S.",Health communication in the digital age: The role of social media in health information dissemination,2013,Health Communication,10.1080/10410236.2012.725423
United States,High Income,Sharing,OpenAI-GPT4o-mini,United States_Sharing_13,"Boulianne, S.",Social media use and participation: A meta-analysis of current research,2015,"Information, Communication & Society",10.1080/1369118X.2015.1008542
United States,High Income,Sharing,OpenAI-GPT4o-mini,United States_Sharing_14,"Hwang, H., & Kim, H.",Information sharing in social media: The role of social capital and social influence,2015,Computers in Human Behavior,10.1016/j.chb.2015.01.014
United States,High Income,Sharing,OpenAI-GPT4o-mini,United States_Sharing_15,"Bennett, W. L.",Communicating global warming: The role of social media in the dissemination of climate change information,2016,Environmental Communication,10.1080/17524032.2016.1143282
United States,High Income,Sharing,OpenAI-GPT4o-mini,United States_Sharing_16,"Katz, E.",Communication and the diffusion of innovations,2017,Communication Research,10.1177/0093650216681917
United States,High Income,Sharing,OpenAI-GPT4o-mini,United States_Sharing_17,"Sundar, S. S., & Marathe, S.",Media effects on information sharing: The role of social media in information dissemination,2010,Communication Research,10.1177/0093650210362558
United States,High Income,Sharing,OpenAI-GPT4o-mini,United States_Sharing_18,"Hargittai, E., & Hsieh, Y. P.",Digital inequality: Understanding the role of social media in information dissemination,2013,"Information, Communication & Society",10.1080/1369118X.2013.785026
United States,High Income,Sharing,OpenAI-GPT4o-mini,United States_Sharing_19,"Wang, Y., & Wang, Y.",Social media and information sharing: The role of social capital,2016,Computers in Human Behavior,10.1016/j.chb.2016.01.012
United States,High Income,Behavior,OpenAI-GPT4o-mini,United States_Behavior_1,"Fisher, K. E., & Naumer, C. M.",Information behavior in the context of the digital divide: A case study of the United States,2016,Journal of Documentation,10.1108/JD-02-2015-0027
United States,High Income,Behavior,OpenAI-GPT4o-mini,United States_Behavior_2,"Savolainen, R.",Everyday information behavior: A social epistemological perspective,2017,Library & Information Science Research,10.1016/j.lisr.2017.06.001
United States,High Income,Behavior,OpenAI-GPT4o-mini,United States_Behavior_3,"Case, D. O.","Looking for information: A survey of research on information seeking, needs, and behavior",2016,Library & Information Science Research,10.1016/j.lisr.2016.05.001
United States,High Income,Behavior,OpenAI-GPT4o-mini,United States_Behavior_4,"Bates, M. J.",Information behavior: An interdisciplinary perspective,2017,Annual Review of Information Science and Technology,10.1002/aris.2017.1451
United States,High Income,Behavior,OpenAI-GPT4o-mini,United States_Behavior_5,"Cole, C.",Understanding information behavior in the context of social media,2018,Information Research,10.47989/ir.23.1.2018.1234
United States,High Income,Behavior,OpenAI-GPT4o-mini,United States_Behavior_6,"Hepworth, M.",Exploring the information behavior of college students in the United States,2019,College & Research Libraries,10.5860/crl.79.1.123
United States,High Income,Behavior,OpenAI-GPT4o-mini,United States_Behavior_7,"Kuhlthau, C. C.",Seeking meaning: A process approach to library and information services,2016,Library & Information Science Research,10.1016/j.lisr.2016.05.002
United States,High Income,Behavior,OpenAI-GPT4o-mini,United States_Behavior_8,"Dervin, B.",From the mind's eye of the user: The sense-making qualitative-quantitative methodology,2018,Library & Information Science Research,10.1016/j.lisr.2018.04.001
United States,High Income,Behavior,OpenAI-GPT4o-mini,United States_Behavior_9,"Tedd, L. A.",Information behavior in the digital age: A review of the literature,2019,Information Research,10.47989/ir.24.1.2019.1234
United States,High Income,Behavior,OpenAI-GPT4o-mini,United States_Behavior_10,"Bawden, D., & Robinson, L.",Introduction to information science,2017,Library & Information Science Research,10.1016/j.lisr.2017.06.002
United States,High Income,Behavior,OpenAI-GPT4o-mini,United States_Behavior_11,"Lloyd, A.",Information literacy in the workplace: A review of the literature,2018,Library & Information Science Research,10.1016/j.lisr.2018.01.001
United States,High Income,Behavior,OpenAI-GPT4o-mini,United States_Behavior_12,"Fisher, K. E.",Information behavior and the role of the library in the digital age,2017,Library Trends,10.1353/lib.2017.0021
